Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Volume (product.metafields.custom.volume),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Age restrictions (product.metafields.shopify.age-restrictions),Candle type (product.metafields.shopify.candle-type),Color (product.metafields.shopify.color-pattern),Country (product.metafields.shopify.country),Drinkware material (product.metafields.shopify.drinkware-material),Event type (product.metafields.shopify.event-type),Region (product.metafields.shopify.region),Size (product.metafields.shopify.size),Ticket additional features (product.metafields.shopify.ticket-additional-features),Ticket type (product.metafields.shopify.ticket-type),Wine sweetness (product.metafields.shopify.wine-sweetness),Wine variety (product.metafields.shopify.wine-variety),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
vidal-blanc,Vidal Blanc,"<p><span>Our Dry Vidal Blanc wine is mildly fruity, light and crisp with aroma notes of grapefruit and pineapple. Refreshingly dry with balanced acid, look for a nice crisp very balanced finish. Vidal blanc is a white hybrid grape variety produced from the Vitis vinifera variety Ugni blanc and another hybrid variety, Rayon d'Or. It is a very winter-hardy variety that manages to produce high sugar levels in cold climates with moderate to high acidity.</span></p>","Nashoba Valley Spirits, Ltd.","Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Wine",Dry White Wine,"<p>Valin Muscat is a dry, and tropical fruits followed by a long clean finish. Pairs great with strong muenster type cheeses, curry or chile peppers.</p>, peach, spicy dishes, very aromatic, white wine with distinct flavors of apricot, wine",TRUE,Title,Default Title,,,,,,,,,1360.77711,,-6,deny,manual,21,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0623/7254/4598/files/Vidal1.jpg?v=1733755464,1,,FALSE,,,Wine,,Adult,,,,,,,,,750.0ml,,,,,,,,,,,,dry,,,,,,,lb,,,active
seyval-blanc,Seyval Blanc,<p><span>Seyval Blancis the most successful of a series of French hybrid grapes developed by Bertille Seyve and Victor Villard in the mid-20th Century. Our Seyval Blanc is produced as dry white wine a flavor profile somewhere between Chardonnay and Sauvignon Blanc with its high acidity. Crisp and totally refreshing.</span></p>,"Nashoba Valley Spirits, Ltd.","Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Wine",Dry White Wine,"<p>Valin Muscat is a dry, and tropical fruits followed by a long clean finish. Pairs great with strong muenster type cheeses, curry or chile peppers.</p>, peach, spicy dishes, very aromatic, white wine with distinct flavors of apricot, wine",TRUE,Title,Default Title,,,,,,,,,1360.77711,,-25,deny,manual,22,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0623/7254/4598/files/sauvblanc1-1711555839817_e3aa8283-2556-46a1-b430-088df3298216.jpg?v=1733342819,1,,FALSE,,,Wine,,Adult,,,,,,,,,750.0ml,,,,,,,,,,,,dry,,,,,,,lb,,,active
vignoles,Vignoles,"<p>The Vignoles grape creates a golden yellow color, light to medium bodied wine with notes of tropical fruit and showcasing a crisp citrus finish. On the nose: Aromas of ripe pear and melon. On the palate: Off-dry wine with initial burst of sweeteners, tropical fruit (pineapple), and apricot finishing with crisp citrus notes.</p>","Nashoba Valley Spirits, Ltd.","Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Wine",Off Dry White,"<p>Capturing the terroir of Bolton, MA our Estate Vignoles grape creates a dry citrus finish with hints of apricot and tropical fruit.</p>, wine",TRUE,Title,Default Title,,,,,,,,,1360.77711,,-49,deny,manual,21.5,0,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0623/7254/4598/files/estate-vignole-3-200x300.jpg?v=1733010484,1,,FALSE,,,Wine,,Adult,,,,,,,,,750.0ml,,,,,,,,,,,,off-dry,vignole,,,,,,lb,,,active
blueberry-merlot,Blueberry Merlot,"<p><span>One of our more interesting blends of tradition and new world. An often shunned upon vinifera meets a low bush blueberry and magic is found. A bright, fresh, medium to full-bodied wine with complex layers of wild cherry, plum, and blueberries. A great wine for blind tasting to show off your wild side commitment to tradition but adding the edge of a fresh blueberry finish; Few will believe the blend and everyone will appreciate the dry finish when a distinctive spicy mouthful of fruit lingers on the palate.  Be Bold, Explore</span></p>","Nashoba Valley Spirits, Ltd.","Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Wine",Dry Red Wine,wine,TRUE,Title,Default Title,,,,,,,,,1360.77711,,-149,deny,manual,23.5,23.5,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0623/7254/4598/files/BlueMerlot1.jpg?v=1733754808,1,,FALSE,,,Wine,,Adult,,,,,,,,,750.0ml,,,,,,,,,,,,dry,,,,,,,lb,,,active
1075,Cherry,"<p>Expertly crafted with the pure essence of just-picked red cherries. The perfect balance of crisp acidity and natural sweetness brings out the bold cherry aromas. As with all of our non-grape wines, our cherry blend is made entirely from sour cherries and carefully sweetened for a flawless taste</p>",Nashoba,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Wine",,"fruit, heritage, wine",TRUE,Title,Default Title,,,,,,,,'60610010305,1360.77711,,-73,deny,manual,19,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0623/7254/4598/files/cherry1-1711044075969.jpg?v=1732366337,1,,FALSE,,,Wine,,Adult,,,,,,,,,750.0ml,,,,,,,,,,,,medium,fruit-wine-cherries,,,,,,lb,,,active
1073,Petit Verdot Rose,"<p>Our dry rose made from Petit Verdot grapes bring forth the elegant flavors of strawberries, rose water, and watermelon. Ideal for a barbecue and for drinking with spicy food such as curries. A modern rose for contemporary food.</p>","Nashoba Valley Spirits, Ltd.","Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Wine",Our dry rose,"<p>Our dry rose made from Petit Verdot grapes bring forth the elegant flavors of strawberries, and are typically used as 10% or less of a Bordeaux blend. Though rarely produced as a single varietal, and perhaps even less so as a rose, and watermelon. Ideal for a barbecue and for drinking with spicy food such as curries. A modern rose for contemporary food.Petit Verdot grapes are originally from the Bordeaux region in France, black cherry) and well-defined gravel-like minerality to create an extremely unique, blackberry, bluerry, fruit forward rose with a large degree of complexity. Having sourced grapes from a premier Californian grower, highly drinkable, rose water, this wine was created to enable the unique characteristics of Petit Verdot to shine</p>, we have decided to capitalize on the highly sought after fruit aromas (plum, wine",TRUE,Title,Default Title,,,,,,,,'60610011611,1360.77711,,-30,deny,manual,24,,TRUE,FALSE,,,,,"Our dry rose made from Petit Verdot grapes bring forth the elegant flavors of strawberries, rose water, and watermelon. Ideal for a barbecue and for drinking...",https://cdn.shopify.com/s/files/1/0623/7254/4598/files/petit1-1711555182251.jpg?v=1732366332,1,,FALSE,,,Wine,,Adult,,,,,,,,,750.0ml,,,,,,,,washington,,,,off-dry,rose,,,,,,lb,,,active
1072,Pinot Noir,"<p>Medium bodied with bright acidity and silky tanninis.?ÿ Complex flavors of cherry, raspberry and blackberry.?ÿ Finishes with notes of vanilla.?ÿ Pairs great with turkey, pork and mushrooms.</p>",Nashoba,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Wine",,"<p>Medium bodied with bright acidity and silky tanninis.&nbsp; Complex flavors of cherry, pork and mushrooms.&nbsp;</p>, raspberry and blackberry.&nbsp; Finishes with notes of vanilla.&nbsp; Pairs great with turkey, wine",TRUE,Title,Default Title,,,,,,,,'60610011609,1360.77711,,-22,deny,manual,25,,TRUE,FALSE,,,,,"Medium bodied with bright acidity and silky tanninis.  Complex flavors of cherry, raspberry and blackberry.  Finishes with notes of vanilla.  Pairs great...",https://cdn.shopify.com/s/files/1/0623/7254/4598/files/thumbnail_pinot-noir-1-1729258056563.png?v=1732366329,1,,FALSE,,,Wine,,Adult,,,,,,,,,750.0ml,,,,,,,,,,,,dry,,,,,,,lb,,,active
1071,Estate Overlook Rose,"<p>Made from a blend of 90% Estate Riesling and 10% Estate St. Croix grapes, creates a dry, intensely aromatic, mouthwatering rose. Fruity, elegant, and effortlessly drinkable, this all-day rosé is perfect for any occasion—whether you're lounging on ""The Knoll"", pairing it with light bites, or simply sipping and savoring the moment.</p>","Nashoba Valley Spirits, Ltd.","Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Wine",Off Dry Rose,"<p>Crisp, rose, wine",TRUE,Title,Default Title,,,,,,,,,1360.77711,,-6,deny,manual,24,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0623/7254/4598/files/overlook1-1711553775136.jpg?v=1732366326,1,,FALSE,,,Wine,,Adult,,,,,,,,,,,,,,,,,estate,,,,dry,,,,,,,lb,,,active
1070,Baldwin Apple Wine,"<p>A medium bodied, oak aged, dry apple wine with balanced acidity and hints of smoke, pears and mint.  Serve with poultry, ham or pork.  Made from our own Baldwin apples and one of our favorite winemaking apples</p>","Nashoba Valley Spirits, Ltd.","Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Wine","Oak-aged, dry apple wine","apple, dry apple wine with balanced acidity and hints of smoke, fruit, heritage, oak aged, pears and mint.&nbsp; Serve with poultry, wine",TRUE,Title,Default Title,,,,,,,,'60610010201,1360.77711,,-21,deny,manual,19,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0623/7254/4598/files/Baldwin1.jpg?v=1733754879,1,,FALSE,,,Wine,,Adult,,,,,,,,,750.0ml,,,,,,,,massachusetts,,,,dry,fruit-wine-apple,,,,,,lb,,,active
1069,Renaissance **November Wine of the Month- 10% Off**,"<p>Our signature blend of oak aged Cabernet Franc, Lemberger and Merlot produces a full body moderately tannic dry red wine with a spicy finish.</p>","Nashoba Valley Spirits, Ltd.","Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Wine",Dry Red Wine,"<p>Our signature blend of oak aged Cabernet Franc, Lemberger and Merlot produces a full body moderately tannic dry red wine with a spicy finish.</p>, wine",TRUE,Title,Default Title,,,,,,,,6.06E+11,1360.77711,,-129,deny,manual,22.5,25,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0623/7254/4598/files/ren1-1711555613917.jpg?v=1732366321,1,,FALSE,,,Wine,,Adult,,,,,,,,,750.0ml,,,,,,,,massachusetts,,,,dry,,,,,,,lb,,,active
1067,Rose All Day - Basket,,Nashoba,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Wine",Think Pink this Valentines Day.,"2 fudge dipped oreos and themed napkin.&nbsp; &nbsp; Price does not include FedEx ground shipping&nbsp;</p>, <p>Let us do the creativity for you.&nbsp; &nbsp;1 Bottle Petite Verdot Rose and 1 Bottle Overlook Roseo &amp;&nbsp; Nashoba Wine Glass",FALSE,Title,Wine,,6061007,Rose Combo,,,,,'6061007,4082.33133,,0,deny,manual,0,72.5,TRUE,FALSE,,,,,"Let us do the creativity for you.   1 Bottle Petite Verdot Rose and 1 Bottle Overlook Roseo &amp;  Nashoba Wine Glass, 2 fudge dipped oreos and themed...",https://cdn.shopify.com/s/files/1/0623/7254/4598/files/val1-1675203808048.jpg?v=1732366316,1,,FALSE,,,Wine,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,draft
1066,Holiday Spiced Cranberry Apple Wine,<p>Limited seasonal release November 1. Our traditional Cranberry Apple wine infused with proprietary spices. Perfect addition to your holiday dinner table.</p>,"Nashoba Valley Spirits, Ltd.","Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Wine",Seasonal Wine - Holiday Spiced Cranberry Apple,"fruit, heritage, wine",FALSE,Title,Default Title,,,,,,,,6.06E+11,1360.77711,,-157,deny,manual,17.75,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0623/7254/4598/files/dsc01490-1730407729270.jpg?v=1732366313,1,,FALSE,,,Wine,,Adult,,,,,,,,,750.0ml,,,,,,,,massachusetts,,,,semi-sweet,,,,,,,lb,,,draft
1065,Peach,"<p>Incredible soft peach silky texture, this wine is sweet, crisp, and refreshing especially if served ice cold. It is perfect for sipping on by the pool on hot summer days. It's love at first sip.</p>","Nashoba Valley Spirits, Ltd.","Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Wine",Peach Wine,"<p>Incredible soft peach silky texture, and refreshing especially if served ice cold. It&rsquo;s perfect for sipping on by the pool on hot summer days. It's love at first sip..</p>, crisp, fruit, heritage, our&nbsp;wine is sweet, wine",TRUE,Title,Default Title,,,,,,,,6.06E+11,1360.77711,,-56,deny,manual,18.5,,TRUE,FALSE,,,,,"Incredible soft peach silky texture, our wine is sweet, crisp, and refreshing especially if served ice cold. It&rsquo;s perfect for sipping on by the pool on...",https://cdn.shopify.com/s/files/1/0623/7254/4598/files/peach1-1711555083955.jpg?v=1732366311,1,,FALSE,,,Wine,,Adult,,,,,,,,,750.0ml,,,,,,,,,,,,semi-sweet,,,,,,,lb,,,active
1064,Estate Cabernet Franc,"<p>Subtle, yet expressive tones of bramble fruits with fine tannins from our own estate grown grapes. Hints of pepper and spice enhance the depth and round fruit taste.</p>","Nashoba Valley Spirits, Ltd.","Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Wine",Estate Grown Red Wine,"<p>Subtle, Dry Red Wine, Grape Wine, Red Wine, West to East Wines, wine, yet expressive tones of bramble fruits with fine tannins from our own estate grown grapes. Hints of pepper and spice enhance the depth and round fruit taste.</p>",TRUE,Title,Default Title,,,,,,,,6.06E+11,1360.77711,,-40,deny,manual,28,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0623/7254/4598/files/cabfranc1-1711553561138.jpg?v=1732366308,1,,FALSE,,,Wine,,Adult,,,,,,,,,750.0ml,,,,,,,,massachusetts,,,,dry,red,,,,,,lb,,,active
1062,Plum,"<p>Delicately fragrant, clean and simple with lightly citric, grapefruit, lemon-lime and mineral flavors. Compliments dishes flavored with cumin or ginger, or paired with trout, fresh oysters or shrimp cocktail.</p>","Nashoba Valley Spirits, Ltd.","Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Wine",Sweet Plum Wine,"<p>Delicately fragrant, clean and simple with lightly citric, fresh oysters or shrimp cocktail.</p>, fruit, grapefruit, heritage, lemon-lime and mineral flavors. Compliments dishes flavored with cumin or ginger, or paired with trout, wine",TRUE,Title,Default Title,,,,,,,,6.06E+11,1360.77711,,-56,deny,manual,18.5,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0623/7254/4598/files/plum1-1711555409868.jpg?v=1732366303,1,,FALSE,,,Wine,,Adult,,,,,,,,,750.0ml,,,,,,,,,,,,sweet,,,,,,,lb,,,active
1060,Raspberry,"<p>This medium-bodied, highly extracted, mildly sweet wine exhibits crushed ripe raspberry and citrus aromas and flavor. Bring on the chocolate cake!</p>","Nashoba Valley Spirits, Ltd.","Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Wine",Sweet Dessert Wine,"<p>This medium-bodied, fruit, heritage, highly extracted, mildly sweet wine exhibits crushed ripe raspberry and citrus aromas and flavor. Bring on the chocolate cake!</p>, wine",TRUE,Title,Default Title,,,,,,,,,1360.77711,,-31,deny,manual,20,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0623/7254/4598/files/rasberry1-1711555499984.jpg?v=1732366298,1,,FALSE,,,Wine,,Adult,,,,,,,,,750.0ml,,,,,,,,,,,,sweet,,,,,,,lb,,,active
1059,Estate Vignoles,"<p>Capturing the terroir of Bolton, MA our Estate Vignoles grape creates a dry citrus finish with hints of apricot and tropical fruit.</p>","Nashoba Valley Spirits, Ltd.","Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Wine",Dry White Estate Wine,"<p>Capturing the terroir of Bolton, MA our Estate Vignoles grape creates a dry citrus finish with hints of apricot and tropical fruit.</p>, wine",TRUE,Title,Default Title,,,,,,,,6.06E+11,1360.77711,,-28,deny,manual,24,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0623/7254/4598/files/estatevignoles1-1711554161695.jpg?v=1732366295,1,,FALSE,,,Wine,,Adult,,,,,,,,,750.0ml,,,,,,,,estate; massachusetts,,,,dry,vignole,,,,,,lb,,,active
1058,Spicy Wifey,<p>Spicy Wifey - A delicious Rose wine with a jalapeño kick!</p>,Nashoba,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Wine",Canned Wine,"<p>Spicy Wifey- A delicious Ros&eacute; wine with a jalape&ntilde;o kick! Perfect for all rose and spicy lovers! 11% ABV 355mL.</p>
<p>~Spicy Wife, Spicy Life~</p>",TRUE,Title,Canned Wine,,1.11E+13,Canned,,,,,1.11E+13,0,,-1,deny,manual,6.75,6.75,TRUE,FALSE,,,,,"Spicy Wifey- A delicious Ros&eacute; wine with a jalape&ntilde;o kick! Perfect for all rose and spicy lovers! 11% ABV 355mL.
~Spicy Wife, Spicy Life~",https://cdn.shopify.com/s/files/1/0623/7254/4598/files/spicy-wifey-1663349130604.jpg?v=1732366292,1,,FALSE,,,Wine,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active
1057,Artemisia Dry Vermouth,<p><span>Experience a light and dry vermouth with a delightful sweetness. Aromatic florals create a welcoming aroma invigorate your taste buds. The effervescent body elevates any cocktail or food pairing. Get ready to elevate your senses with Artemisia Dry Vermouth!</span></p>,"Nashoba Valley Spirits, Ltd.","Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Wine",Dry vermouth:,"All, citrus, Vermouth, wine",TRUE,Title,Default Title,,,,,,,,'60610022203,1360.77711,,0,deny,manual,18,,TRUE,FALSE,,,,,"Dry vermouth: Made from fortified Seyval Blanc wine and steeped with a proprietary mix of herbs and spices. Prominent notes of vanilla, citrus, rose hips and...",https://cdn.shopify.com/s/files/1/0623/7254/4598/files/dryvermouth1-1711038087266.jpg?v=1732366289,1,,FALSE,,,Wine,,Adult,,,,,,,,,375.0ml; 0.1us_gal,,,,,united-states,,,,,,,dry,,,,,,,lb,,,active
1055,Malbec,"<p>Pure, rich and very elegant; a powerhouse of lush black fruit, silky cocoa, black spice and cream, wrapped around blackberry, cherry and ripe plum.?ÿ Layered and complex with a nose to linger over, a finish that never ends.</p>","Nashoba Valley Spirits, Ltd.","Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Wine",Dry Red Wine,"<p><em>Our 2019 Malbec. Deep ruby, wine",TRUE,Title,Default Title,,,,,,,,6.06E+11,1360.77711,,-67,deny,manual,27,,TRUE,FALSE,,,,,"Our 2019 Malbec. Deep ruby, and purple in color. With notes of dark berries, plums and a hint of soft spice notes. Medium to heavy bodied with mild tannin...",https://cdn.shopify.com/s/files/1/0623/7254/4598/files/malbec1-1711554682353.jpg?v=1732366284,1,,FALSE,,,Wine,,Adult,,,,,,,,,750.0ml,,,,,,,,,,,,,,,,,,,lb,,,active
1054,Azule - Blueberry Port,"<p>Azule is a full-bodied, richly textured, high spirited Port-style wine with opulent blueberry and chocolate aromas featuring modest sweetness</p>
<p> </p>",Nashoba,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Wine",Port Style Wine,"Blueberry, Port, wine",TRUE,Title,Default Title,,,,,,,,,1360.77711,,-15,deny,manual,38,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0623/7254/4598/files/azule1-1711040021615.jpg?v=1732366281,1,,FALSE,,,Wine,,Adult,,,,,,,,,750.0ml,,,,,,,,maine,,,,,,,,,,,lb,,,active
1053,Gravenstein,"<p>Crisp, light, austere and elegant, this favorite old-time apple translates nicely into an excellent dry wine.?ÿ The Gravenstein apple is the earliest apple we grow that actually tastes like an apple; crisp, juicy and tart. Excellent in pies.</p>","Nashoba Valley Spirits, Ltd.","Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Wine",Dry White Apple Wine,"<p>Crisp, austere and elegant, fruit, heritage, juicy and tart. Excellent in pies.</p>, light, this favorite old-time apple translates nicely into an excellent dry wine. The Gravenstein apple is the earliest apple we grow that actually tastes like an apple; crisp, wine",FALSE,Title,Default Title,,,,,,,,6.06E+11,1360.77711,,-3,deny,manual,16.5,,TRUE,FALSE,,,,,"Crisp, light, austere and elegant, this favorite old-time apple translates nicely into an excellent dry wine. The Gravenstein apple is the earliest apple we...",https://cdn.shopify.com/s/files/1/0623/7254/4598/files/gravenstein1-1711554449039.jpg?v=1732366278,1,,FALSE,,,Wine,,Adult,,,,,,,,,750.0ml,,,,,,,,massachusetts,,,,dry,fruit-wine-apple,,,,,,lb,,,draft
1052,Mead,"<p>An off-dry honey wine with a lingering full body. Intricate notes of clover, flowers and fruits are richly represented.</p>","Nashoba Valley Spirits, Ltd.","Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Wine",Mead,"<p><em>Mead is an alcoholic beverage made from fermented honey and water. This is an off-dry Mead with a lingering full honey body. On the front of the palate delicate notes of clover, flowers and fruits that prelude to the making of honey. Which is followed by a rich, fruit, heritage, lingering honey finish. Mead has a long history and is widely thought to be one of the oldest alcoholic beverages, succulent, wine, with evidence for the consumption dating to the 7th millennium BCE in China. Mead then went on to become the most common alcoholic drink of England during the 10th-14th century.</em></p>",TRUE,Title,Default Title,,,,,,,,6.06E+11,1360.77711,,-15,deny,manual,21,,TRUE,FALSE,,,,,Mead is an alcoholic beverage made from fermented honey and water. This is an off-dry Mead with a lingering full honey body. On the front of the palate...,https://cdn.shopify.com/s/files/1/0623/7254/4598/files/nashoba-mead-1624356928824.jpg?v=1732366275,1,,FALSE,,,Wine,,Adult,,,,,,,,,750.0ml,,,,,,,,,,,,,,,,,,,lb,,,active
1051,Dry Pear,"<p>A medium bodied, soft, balanced wine with delicate ripe pear and mild toasty aromas from barrel aging. One of our very favorite heritage wines blending the flavors and aromas of Bartlett Pears with the tradition of barrel aging</p>","Nashoba Valley Spirits, Ltd.","Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Wine",Barrel Aged Apple Wine,"fruit, heritage, pear, wine",TRUE,Title,Default Title,,,,,,,,6.06E+11,1360.77711,,-58,deny,manual,20.5,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0623/7254/4598/files/drypear1-1711553419850.jpg?v=1732366273,1,,FALSE,,,Wine,,Adult,,,,,,,,,750.0ml,,,,,,,,massachusetts,,,,dry,fruit-pear,,,,,,lb,,,active
1050,Riesling,"<p>An off-dry Riesling with complex, rich and fruity with suggestions of peach, apricot, citrus, and pineapple. Well-balanced with a crisp, tart, long smooth finish.</p>",Nashoba,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Wine",Off Dry White,"<p>Complex, apricot, citrus and pineapple.Well-balanced with an off-dry, crisp and smooth finish.</p>, rich and fruity with suggestions of peach, wine",TRUE,Title,Default Title,,,,,,,,6.06E+11,1360.77711,,-11,deny,manual,22,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0623/7254/4598/files/riesling1-1711555747244.jpg?v=1732366270,1,,FALSE,,,Wine,,Adult,,,,,,,,,750.0ml,,,,,,,,,,,,,,,,,,,lb,,,active
1049,Semi-Sweet Blueberry,"<p><span>Rich and mellow, with medium sweetness. Medium-body and balanced acidity, with earth, herb and blueberry flavors. Wild blueberries from western Massachusetts, New Hampshire and Northern Maine are used.</span></p>",Nashoba,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Wine","This award winning wine is rich, silky and mellow, with medium sweetness. Medium-body and balanced acidity, with earth, herb and incredible blueberry flavors.","<p>This award winning wine is rich, fruit, herb and incredible blueberry flavors.</p>, heritage, silky and mellow, wine, with earth, with medium sweetness. Medium-body and balanced acidity",TRUE,Title,Default Title,,,,,,,,6.06E+11,1360.77711,,-101,deny,manual,21,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0623/7254/4598/files/semisweet1-1711555956676.jpg?v=1732366268,1,,FALSE,,,Wine,,Adult,,,,,,,,,750.0ml,,,,,,,,,,,,,,,,,,,lb,,,active
1048,Valvin Muscat,"<p>Valvin Muscat is a dry, very aromatic, white wine with distinct flavors of apricot, peach, and tropical fruits followed by a long clean finish. Pairs great with strong muenster type cheeses, spicy dishes, curry or chile peppers.</p>","Nashoba Valley Spirits, Ltd.","Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Wine",Dry White Wine,"<p>Valin Muscat is a dry, and tropical fruits followed by a long clean finish. Pairs great with strong muenster type cheeses, curry or chile peppers.</p>, peach, spicy dishes, very aromatic, white wine with distinct flavors of apricot, wine",FALSE,Title,Default Title,,,,,,,,,1360.77711,,-1012,deny,manual,18,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0623/7254/4598/files/valvin1-1711556529897.jpg?v=1732366265,1,,FALSE,,,Wine,,Adult,,,,,,,,,750.0ml,,,,,,,,,,,,dry,,,,,,,lb,,,draft
1047,Pinot Gris,"<p>Delicately fragrant, clean and simple with lightly citric, grapefruit, lemon-lime and mineral flavors. Compliments dishes flavored with cumin or ginger, or paired with trout, fresh oysters or shrimp cocktail.</p>","Nashoba Valley Spirits, Ltd.","Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Wine",Dry White Wine,"<p><em>2019 Pinot Gris. Delicate notes of crisp acidic fruits such as lemon, grapefruit, lemon, lime, wine",TRUE,Title,Default Title,,,,,,,,'60610011608,1360.77711,,-23,deny,manual,23,,TRUE,FALSE,,,,,"2019 Pinot Gris. Delicate notes of crisp acidic fruits such as lemon, lime, grapefruit and finishes with slight minerality. On the nose: Delicate citrus...",https://cdn.shopify.com/s/files/1/0623/7254/4598/files/pinotgris1-1711555280548.jpg?v=1732366262,1,,FALSE,,,Wine,,Adult,,,,,,,,,750.0ml,,,,,,,,,,,,dry,,,,,,,lb,,,active
1046,Cyser,"<p>A light-bodied semi-sweet wine produced from estate apples and honey. Clean and well-balanced, with zesty acidity on entry and lingering honey perfumey character at the finish</p>",Nashoba,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Wine",Honey and Apple Wine,"apple, fruit, heritage, honey, mead, wine",TRUE,Title,Default Title,,,,,,,,6.06E+11,1360.77711,,-46,deny,manual,19,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0623/7254/4598/files/cyser1-1711044582380.jpg?v=1732366260,1,,FALSE,,,Wine,,Adult,,,,,,,,,750.0ml,,,,,,,,,,,,,,,,,,,lb,,,active
