Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Volume (product.metafields.custom.volume),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Age restrictions (product.metafields.shopify.age-restrictions),Candle type (product.metafields.shopify.candle-type),Color (product.metafields.shopify.color-pattern),Country (product.metafields.shopify.country),Drinkware material (product.metafields.shopify.drinkware-material),Event type (product.metafields.shopify.event-type),Region (product.metafields.shopify.region),Size (product.metafields.shopify.size),Ticket additional features (product.metafields.shopify.ticket-additional-features),Ticket type (product.metafields.shopify.ticket-type),Wine sweetness (product.metafields.shopify.wine-sweetness),Wine variety (product.metafields.shopify.wine-variety),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
holiday-spiced-cranberry-apple-wine,Holiday Spiced Cranberry Apple Wine,<p>Limited seasonal release. Our traditional Cranberry Apple wine infused with proprietary spices. Perfect addition to your holiday dinner table.</p>,"Nashoba Valley Spirits, Ltd.","Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Wine",Seasonal Wine - Holiday Spiced Cranberry Apple,"fruit, heritage, wine",TRUE,Title,Default Title,,,,,,,,'60610010312,1360.77711,,-94,deny,manual,19.25,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0623/7254/4598/files/dsc01490-1730407729270.jpg?v=1732366313,1,,FALSE,,,Wine,,Adult,,,,,,,,,750.0ml,,,,,,,,massachusetts,,,,semi-sweet,,,,,,,lb,,,active
cranberry-apple-wine-1,Cranberry Apple Wine,<p><span>A New England Tradition.   One of the early wines produced by Nashoba blending the fresh cranberries of our grower Cape Cod Select and our own Red Delicious Apples. The subtle flavors and sweetness of Red Delicious is the perfect fruit to balance the crisp tartness.</span></p>,"Nashoba Valley Spirits, Ltd.","Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Wine",Semi Sweet,"fruit, heritage, wine",TRUE,Title,Default Title,,,,,,,,,1360.77711,,-64,deny,manual,18.5,18.5,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0623/7254/4598/files/CranApple1.jpg?v=1733755221,1,,FALSE,,,Wine,,Adult,,,,,,,,,750.0ml,,,,,,,,massachusetts,,,,semi-sweet,,,,,,,lb,,,active
fitzs-spritz,Fitz's Spritz,"<p>Nashoba's play on the classic Italian Favorite ""Aperol Spritz"". Apple wine blended with Nashoba Valley Spirits Vodka, infused with: vanilla, sweet orange peel, bitter orange peel, cinchona and gentian root. Carbonated. <br>8% ABV &amp; 12oz.</p>",Nashoba,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Wine",Canned Wine,,TRUE,Title,Canned Wine,,1.11E+13,Canned,,,,,,0,,-7,deny,manual,6,6.75,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0623/7254/4598/files/FitzSPrits.jpg?v=1753032664,1,,FALSE,,,Wine,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active
harvest-hills-rose,Harvest Hills Rosé,"<p><span class=""OYPEnA font-feature-liga-off font-feature-clig-off font-feature-calt-off text-decoration-none text-strikethrough-none"">A bright and refreshing rosé crafted from a unique blend of 80% Chardonnay, 14% Pinot Gris and 6% St. Croix. Delicate aromas of apricot and lemon greet the nose while the palate opens with notes of tart plum followed by layers of strawberry jam, ripe apricot, and a soft peachy finish.</span></p>","Nashoba Valley Spirits, Ltd.","Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Wine",Our dry rose,"<p>Our dry rose made from Petit Verdot grapes bring forth the elegant flavors of strawberries, and are typically used as 10% or less of a Bordeaux blend. Though rarely produced as a single varietal, and perhaps even less so as a rose, and watermelon. Ideal for a barbecue and for drinking with spicy food such as curries. A modern rose for contemporary food.Petit Verdot grapes are originally from the Bordeaux region in France, black cherry) and well-defined gravel-like minerality to create an extremely unique, blackberry, bluerry, fruit forward rose with a large degree of complexity. Having sourced grapes from a premier Californian grower, highly drinkable, rose water, this wine was created to enable the unique characteristics of Petit Verdot to shine</p>, we have decided to capitalize on the highly sought after fruit aromas (plum, wine",TRUE,Title,Default Title,,,,,,,,'60610010817,1360.77711,,-16,deny,manual,22.5,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0623/7254/4598/files/HHR.jpg?v=1743522661,1,,FALSE,,,Wine,,Adult,,,,,,,,,750.0ml,,,,,united-states,,,estate; california,,,,off-dry,rose,,,,,,lb,,,active
foggy-bog-375mlfoggy-bog-375ml,Foggy Bog - 375mL,"<p>The essence of New England local harvests in a bottle. This dessert style wine is made from our Cranberry-Apple wine, fortified with Nashoba Valley Spirits Cranberry Brandy, and then infused with mulling spices. Released in 2003, Foggy Bog is simply a homerun and is the perfect pairing for any New England Holiday gathering!</p>","Nashoba Valley Spirits, Ltd.","Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Wine",Dessert Wine,"fruit, sweet, wine",TRUE,Title,Default Title,,,,,,,,'60610010502,1360.77711,,9,deny,manual,29,,TRUE,FALSE,,,,,'60610010502,https://cdn.shopify.com/s/files/1/0623/7254/4598/files/FoggyBog.jpg?v=1761586872,1,,FALSE,,,Wine,,Adult,,,,,,,,,375.0ml,,,,,,,,,,,,sweet,fruit-wine-apple,,,,,,lb,,,active
strawberry-rhubarb-wine-1,Strawberry Rhubarb Wine,"<p><span>A light bodied, tart, semi-sweet wine inspired by the traditional early summer dessert. Delicious by itself or with sweet spicy dishes. One of our best-sellers!</span><span></span></p>","Nashoba Valley Spirits, Ltd.","Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Wine",Strawberry Rhubarb,"fruit, heritage, wine",TRUE,Title,Default Title,,,,,,,,,1360.77711,,-108,deny,manual,19.5,19.5,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0623/7254/4598/files/Strawberry.jpg?v=1733755403,1,,FALSE,,,Wine,,Adult,,,,,,,,,750.0ml,,,,,,,,massachusetts,,,,semi-sweet,,,,,,,lb,,,active
st-croix-dessert-wine,St. Croix Dessert Wine,"<p><span>A medium bodied fortified dessert style wine made from St. Croix Grapes grown on site of NVW. This is our first estate dessert style wine produced here at NVW. Fortified with estate grape brandy and oak aged for 9 months in a combination of American and Eastern European Oak. Once un-barelled this port style wine rested another 11 months in our stainless steel tanks where it underwent porpriaty aging techniques. On the nose there are prominent notes of Grape Brandy, followed by delicate notes of jam. On the palate this wine opens with strong brandy characteristics followed by notes of blackberry jam and finishes with slightly sweet cherry notes. This St. Croix Dessert Style wine is similar to a Ruby Port.</span></p>
<p> </p>","Nashoba Valley Spirits, Ltd.","Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Wine",Port Style Wine,"Port, wine",TRUE,Title,Default Title,,,,,,,,,1360.77711,,-5,deny,manual,26,0,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0623/7254/4598/files/st--croix-port-1669835247216.jpg?v=1733011953,1,,FALSE,,,Wine,,Adult,,,,,,,,,750.0ml,,,,,,,,,,,,sweet,,,,,,,lb,,,active
maidens-blush,Maiden's Blush,"<p><span>An award winning rose made from 49% Apples - 49% Pears - 2% Elderberries. Subtly perfumed, with an alluring flavor of apples, pears and elderberries. Similar in style to White Zinfandel. Named after the Maiden's Blush apple, one of over 80 ""antique"" apple varieties grown in our orchard.</span></p>","Nashoba Valley Spirits, Ltd.","Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Wine",Apple Blended Rose,"fruit, heritage, wine",TRUE,Title,Default Title,,,,,,,,,1360.77711,,-88,deny,manual,19,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0623/7254/4598/files/maidens1-1711554558017.jpg?v=1733011666,1,,FALSE,,,Wine,,Adult,,,,,,,,,750.0ml,,,,,,,,massachusetts,,,,off-dry,,,,,,,lb,,,active
cranberry-apple-wine,Cranberry Apple Wine (old),<p><span>A New England Tradition.   One of the early wines produced by Nashoba blending the fresh cranberries of our grower Cape Cod Select and our own Red Delicious Apples. The subtle flavors and sweetness of Red Delicious is the perfect fruit to balance the crisp tartness.</span></p>,"Nashoba Valley Spirits, Ltd.","Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Wine",Semi Sweet,"fruit, heritage, wine",FALSE,Title,Default Title,,,,,,,,,1360.77711,,-250,deny,manual,18.5,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0623/7254/4598/files/CranApple1.jpg?v=1733755221,1,,FALSE,,,Wine,,Adult,,,,,,,,,750.0ml,,,,,,,,massachusetts,,,,semi-sweet,,,,,,,lb,,,draft
sauvignon-blanc,Sauvignon Blanc,"<p><span>The perfect wine for enjoying outside on a warm summers day! This wine is clean, delicate, dry with focused acidity. Vibrant citrus, melon, honey-suckle flavors followed by crisp acidity and mineral tones. Pairs beautifully with seafood, poultry, vegetables, and salad dishes.</span></p>","Nashoba Valley Spirits, Ltd.","Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Wine",Dry White Wine,"very aromatic, white wine with distinct flavors of apricot, wine",TRUE,Title,Default Title,,,,,,,,,1360.77711,,-53,deny,manual,23.5,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0623/7254/4598/files/SauvBlanc1.jpg?v=1733755361,1,,FALSE,,,Wine,,Adult,,,,,,,,,750.0ml,,,,,,,,,,,,dry,,,,,,,lb,,,active
